"Carimbo de data/hora","Sexo","Altura (centímetros)","Distância da ponta do dedo médio (dedo do meio) até a linha do punho da mão direita (em centímetros), conforme a imagem","Idade (anos completos, coloque 0 se menos que 1 ano)"
"2023/12/01 1:39:51 PM GMT-3","Masculino","177","20,8","27"
"2023/12/01 1:44:03 PM GMT-3","Masculino","169","18","19"
"2023/12/01 1:46:58 PM GMT-3","Feminino","155","18","22"
"2023/12/01 1:51:43 PM GMT-3","Masculino","194","19","21"
"2023/12/01 2:06:51 PM GMT-3","Feminino","168","17,9","34"
"2023/12/01 2:08:02 PM GMT-3","Feminino","161","16","28"
"2023/12/01 2:10:45 PM GMT-3","Masculino","180","20","28"
"2023/12/01 2:11:21 PM GMT-3","Masculino","170","18,5","35"
"2023/12/01 2:17:15 PM GMT-3","Feminino","165","18,5","19"
"2023/12/01 2:17:29 PM GMT-3","Feminino","166","18,5","25"
"2023/12/01 2:18:58 PM GMT-3","Feminino","159","17","24"
"2023/12/01 2:19:58 PM GMT-3","Feminino","173","18","19"
"2023/12/01 2:20:20 PM GMT-3","Masculino","161","18","14"
"2023/12/01 2:32:30 PM GMT-3","Masculino","180","19,8","21"
"2023/12/01 2:34:08 PM GMT-3","Masculino","170","17,7","27"
"2023/12/01 2:42:41 PM GMT-3","Feminino","165","16","20"
"2023/12/01 2:43:35 PM GMT-3","Feminino","154","17,5","19"
"2023/12/01 2:44:40 PM GMT-3","Masculino","170","16,5","22"
"2023/12/01 3:01:34 PM GMT-3","Masculino","171","16","20"
"2023/12/01 3:26:53 PM GMT-3","Masculino","174","19,5","18"
"2023/12/01 3:28:01 PM GMT-3","Masculino","178","21,8","52"
"2023/12/01 3:51:31 PM GMT-3","Masculino","177","19","21"
"2023/12/01 3:52:21 PM GMT-3","Masculino","179","18,5","20"
"2023/12/02 1:09:10 PM GMT-3","Feminino","167","17,8","18"
"2023/12/02 4:13:00 PM GMT-3","Masculino","180","18","21"
"2023/12/03 10:42:18 PM GMT-3","Feminino","159","12","21"
"2023/12/04 12:07:53 PM GMT-3","Feminino","161","16","23"
"2023/12/04 12:18:18 PM GMT-3","Masculino","176","19,5","24"
"2023/12/04 12:36:01 PM GMT-3","Masculino","181","19","24"
"2023/12/04 1:33:21 PM GMT-3","Masculino","160","17","25"
"2023/12/04 6:28:54 PM GMT-3","Masculino","172","18,8","23"
"2023/12/04 9:29:59 PM GMT-3","Masculino","190","21,5","27"
"2023/12/05 6:41:24 PM GMT-3","Masculino","130","15","9"
"2023/12/05 6:43:22 PM GMT-3","Masculino","185","20","36"
